Common and binomial names,Image,Status
Naumann's thrush(Turdus naumanni),,A rare vagrant
Black-throated thrush(Turdus atrogularis),,A rare vagrant
Red-throated thrush(Turdus ruficollis),,A rare vagrant
Fieldfare(Turdus pilaris),,"A winter visitor, rare breeder"
Song thrush(Turdus philomelos),,A resident breeding species
Redwing(Turdus iliacus),,"A winter visitor, rare breeder"
Mistle thrush(Turdus viscivorus),,A resident breeding species
American robin(Turdus migratorius),,A rare vagrant
Rufous bush robin(Cercotrichas galactotes),,A rare vagrant
Asian brown flycatcher(Muscicapa dauurica),,A rare vagrant
Spotted flycatcher(Muscicapa striata),,A breeding summer visitor
European robin(Erithacus rubecula),,A resident breeding species
Siberian blue robin(Larvivora cyanea),,A rare vagrant
Rufous-tailed robin(Larvivora sibilans),,A rare vagrant
Siberian rubythroat(Calliope calliope),,A rare vagrant
White-throated robin(Irania gutturalis),,A rare vagrant
Red-flanked bluetail(Tarsiger cyanurus),,A rare vagrant
Thrush nightingale(Luscinia luscinia),,A rare vagrant
Nightingale(Luscinia megarhynchos),,A breeding summer visitor
Bluethroat(Luscinia svecica),,"A scarce migrant, occasional breeder"
Red-breasted flycatcher(Ficedula parva),,A scarce migrant
Taiga flycatcher(Ficedula albicilla),,A rare vagrant
Collared flycatcher(Ficedula albicollis),,A rare vagrant
Pied flycatcher(Ficedula hypoleuca),,A breeding summer visitor
Black redstart(Phoenicurus ochruros),,"A scarce breeding resident, passage migrant & winter visitor"
Common redstart(Phoenicurus phoenicurus),,A breeding summer visitor
Moussier's redstart(Phoenicurus moussieri),,A rare vagrant
Rock thrush(Monticola saxatilis),,A rare vagrant
Blue rock thrush(Monticola solitarius),,A rare vagrant
Whinchat(Saxicola rubetra),,A breeding summer visitor & passage migrant
Siberian stonechat(Saxicola maurus),,A rare vagrant
European stonechat(Saxicola rubicola),,A resident breeding species
Isabelline wheatear(Oenanthe isabellina),,A rare vagrant
Northern wheatear(Oenanthe oenanthe),,A breeding summer visitor & passage migrant
Pied wheatear(Oenanthe pleschanka),,A rare vagrant
Black-eared wheatear(Oenanthe hispanica),,A rare vagrant
Desert wheatear(Oenanthe deserti),,A rare vagrant
White-crowned wheatear(Oenanthe leucopyga),,A rare vagrant
Dunnock(Prunella modularis),,A resident breeding species
Alpine accentor(Prunella collaris),,A rare vagrant
Siberian accentor(Prunella montanella),,A rare vagrant with multiple records in 2016
House sparrow(Passer domesticus),,A resident breeding species
Spanish sparrow(Passer hispaniolensis),,A rare vagrant
Eurasian tree sparrow(Passer montanus),,A resident breeding species
Rock sparrow(Petronia petronia),,A rare vagrant
Western yellow wagtail(Motacilla flava),,Seven races including: Blue-headed wagtail M. f. flava (nominate subspecies occurring as a migrant) Yellow wagtail M. f. flavissima (subspecies breeding in Britain)
Citrine wagtail(Motacilla citreola),,A rare vagrant
Grey wagtail(Motacilla cinerea),,A resident breeding species
White wagtail(Motacilla alba),,"A resident breeding species with two additional visiting races M. a. alba (nominate subspecies occurring as a migrant) M. a. leucopsis, Amur wagtail (rare vagrant) M. a. yarrelli, pied wagtail (subspecies breeding in Britain)"
Richard's pipit(Anthus richardi),,A scarce migrant
Blyth's pipit(Anthus godlewskii),,A rare vagrant
Tawny pipit(Anthus campestris),,A scarce migrant
Olive-backed pipit(Anthus hodgsoni),,A rare vagrant
Tree pipit(Anthus trivialis),,A breeding summer visitor
Pechora pipit(Anthus gustavi),,A rare vagrant
Meadow pipit(Anthus pratensis),,A resident breeding species
Red-throated pipit(Anthus cervinus),,A scarce migrant
Rock pipit(Anthus petrosus),,A resident breeding species
Water pipit(Anthus spinoletta),,A winter visitor
Buff-bellied pipit(Anthus rubescens),,A rare vagrant
Common chaffinch(Fringilla coelebs),,A resident breeding species
Brambling(Fringilla montifringilla),,"A winter visitor, occasional breeder"
European serin(Serinus serinus),,"A scarce passage migrant, occasional breeder"
European greenfinch(Chloris chloris),,A resident breeding species
Citril finch(Carduelis citrinella),,A rare vagrant
European goldfinch(Carduelis carduelis),,A resident breeding species
Eurasian linnet(Linaria cannabina),,A resident breeding species
Twite(Linaria flavirostris),,A resident breeding species
Eurasian siskin(Spinus spinus),,A resident breeding species and winter visitor
Lesser redpoll(Acanthis cabaret),,A resident breeding species
Mealy redpoll(Acanthis flammea),,"A winter visitor and passage migrant, occasional breeder"
Arctic redpoll(Acanthis hornemanni),,A scarce migrant
Two-barred crossbill(Loxia leucoptera),,A rare vagrant
Common crossbill(Loxia curvirostra),,A resident breeding species
Scottish crossbill(Loxia scotica),,A resident endemic breeding species
Parrot crossbill(Loxia pytyopsittacus),,A resident breeding species
Trumpeter finch(Bucanetes githagineus),,A rare vagrant
Common rosefinch(Erythrina erythrinus),,"A scarce migrant, occasional breeder"
Pine grosbeak(Pinicola enucleator),,A rare vagrant
Eurasian bullfinch(Pyrrhula pyrrhula),,A resident breeding species
Hawfinch(Coccothraustes coccothraustes),,A scarce resident breeding species
Evening grosbeak(Hesperiphona vespertinua),,A rare vagrant
Snow bunting(Plectrophenax nivalis),,A winter visitor & scarce breeder
Lapland bunting(Calcarius lapponicus),,"A winter visitor, occasional breeder"
Summer tanager(Piranga rubra),,A rare vagrant
Scarlet tanager(Piranga olivacea),,A rare vagrant
Rose-breasted grosbeak(Pheucticus ludovicianus),,A rare vagrant
Indigo bunting(Passerina cyanea),,A rare vagrant
Rufous-sided towhee(Pipilo erythrophthalmus),,A rare vagrant
Lark sparrow(Chondestes grammacus),,A rare vagrant
Savannah sparrow(Passerculus sandwichensis),,A rare vagrant
Song sparrow(Melospiza melodia),,A rare vagrant
White-crowned sparrow(Zonotrichia leucophrys),,A rare vagrant
White-throated sparrow(Zonotrichia albicollis),,A rare vagrant
Dark-eyed junco(junco hyemalis),,A rare vagrant
Black-faced bunting(Emberiza spodocephala),,A rare vagrant
Pine bunting(Emberiza leucocephalos),,A rare vagrant
Yellowhammer(Emberiza citrinella),,A resident breeding species
Cirl bunting(Emberiza cirlus),,A resident breeding species
Rock bunting(Emberiza cia),,A rare vagrant
Ortolan bunting(Emberiza hortulana),,A scarce migrant
Cretzschmar's bunting(Emberiza caesia),,A rare vagrant
Yellow-browed bunting(Emberiza chrysophrys),,A rare vagrant
Rustic bunting(Emberiza rustica),,A scarce migrant
Chestnut-eared bunting(Emberiza fucata),,A rare vagrant
Little bunting(Emberiza pusilla),,A scarce migrant
Yellow-breasted bunting(Emberiza aureola),,A rare vagrant
Chestnut bunting(Emberiza rutila),,A rare vagrant
Reed bunting(Emberiza schoeniclus),,A resident breeding species
Pallas' reed bunting(Emberiza pallasi),,A rare vagrant
Black-headed bunting(Emberiza melanocephala),,A rare vagrant
Corn bunting(Emberiza calandra),,A resident breeding species
Bobolink(Dolichonyx oryzivorus),,A rare vagrant
Brown-headed cowbird(Molothrus ater),,A rare vagrant
Baltimore oriole(Icterus galbula),,A rare vagrant
Red-winged blackbird(Agelaius phoeniceus),,A rare vagrant
Ovenbird(Seiurus aurocapilla),,A rare vagrant
Northern waterthrush(Parkesia noveboracensis),,A rare vagrant
Golden-winged warbler(Vermivora chrysoptera),,A rare vagrant
Black-and-white warbler(Mniotilta varia),,A rare vagrant
Tennessee warbler(Oreothlypis peregrina),,A rare vagrant
Common yellowthroat(Geothlypis trichas),,A rare vagrant
Hooded warbler(Setophaga citrina),,A rare vagrant
American redstart(Setophaga ruticilla),,A rare vagrant
Cape May warbler(Setophaga tigrina),,A rare vagrant
Northern parula(Setophaga americana),,A rare vagrant
Magnolia warbler(Setophaga magnolia),,A rare vagrant
Bay-breasted warbler(Setophaga castanea),,A rare vagrant
Blackburnian warbler(Setophaga fusca),,A rare vagrant
Yellow warbler(Setophaga petechia),,A rare vagrant
Chestnut-sided warbler(Setophaga pensylvanica),,A rare vagrant
Blackpoll warbler(Setophaga striata),,A rare vagrant
Yellow-rumped warbler(Setophaga coronata),,A rare vagrant
Wilson's warbler(Cardellina pusilla),,A rare vagrant
Brown booby (Sula leucogaster),,A rare vagrant
Paddyfield pipit (Anthus rufulus)[citation needed],,A rare vagrant
